author,birth_date,birth_country,death_date,genres,influenced,influenced_by,properly_processed
Lucia Berlin,1936-11-12,United States,2004-11-12,,,,True
Stephanie Laurens,1953-08-14,Sri Lanka,,,,,True
Robert Jordan,,,,,,,True
Brandon Sanderson,1975-12-19,,,Fantasy; Science_fiction,,,True
Toni Morrison,,,,,,,False
David Weber,,,,,,,True
Patrick Ness,1971-10-17,United States,,Young_adult_fiction,,,True
Ben Carson,1951-09-18,United States,,,,,True
Candy Carson,1953-08-19,United States,,,,,True
Sue Klebold,1949-03-25,United States,,,,,True
J. K. Simmons,1955-01-09,,,,,,True
Kyf Brewer,,,,,,,False
Ron Carr,,,,,,,True
George Will,,,,,,,True
Julia Quinn,,,,Romance_novel,,,True
Walter Lord,1917-10-08,United States,2002-05-19,Narrative_history,,,True
Eckhart Tolle,1948-02-16,Allied-occupied Germany,,Metaphysics; Self-help; Spirituality,,,True
Robert M. Gates,,,,,,,False
Larry Schweikart,1951-04-21,United States,,,,,True
Michael Allen,1935-05-20,United States,,,,,True
Howard Zinn,1922-08-24,,,,,,True
Kim Harrison,,Midwest,,Fantasy_literature,,,True
Christina Baker Kline,,,,,,,False
Kate DiCamillo,1964-03-25,United States,,Children's_literature,,,True
Fatima Farheen Mirza,1991-04-10,United States,,,,,True
Bethenny Frankel,1970-11-04,,,,,,True
John Lescroart,1948-01-14,,,Thriller_(genre),,,True
David Spade,1964-07-22,,,,,,True
Terry Brooks,,,,,,,True
Jeff Zinn,1949-12-04,,,,,,True
Harper,,,,,,,True
Barack Obama,1961-08-04,United States,,,,,True
Alan Bradley,,,,,,,True
Robert Goolrick,1948-08-04,,2022-04-29,,,,True
Elizabeth Peters,,,,,,,False
Johanna Lindsey,1952-03-10,West Germany,2019-10-27,,,,True
Mary Balogh,,,,,,,False
Tatiana de Rosnay,1961-09-28,France,,,,,True
Lemony Snicket,,,,,,,False
Craig Johnson,,,,,,,True
Laurell K. Hamilton,,,,,,,False
David B. Agus,,,,,,,False
Kristin Loberg,,,,,,,False
Christopher Lascelles,,,,,,,False
Philip C. Stead,,,,,,,False
Yoshitoki Oima,,,,,,,False
Mike Huckabee,1955-08-24,United States,,,,,True
Jodi Picoult,,,,,,,True
Anne Tyler,1941-10-25,,,Literary_realism,,,True
Ben Macintyre,1963-12-25,United Kingdom,,,,,True
Richard Paul Evans,1962-10-11,United States,,,,,True
Jaycee Dugard,1951-04-05,United States,,,,,True
Shari Lapena,,,,,,,False
Garth Stein,1964-12-06,,,,,,True
Elin Hilderbrand,,,,,,,False
Anne Perry,1938-10-28,United Kingdom,,,,,True
Zhang Ling,,China,,,,,True
James Bowen,,,,,,,True
Chris Colfer,1990-05-27,United States,,,,,True
Marlena De Blasi,,,,,,,False
Marlena de Blasi,,,,,,,False
Mary Oliver,,,,,,,False
Khaled Hosseini,1965-03-04,Afghanistan,,Fiction,,,True
Abigail Thomas,,,,,,,False
Dale Brown,1956-11-02,United States,,Thriller_(genre),,,True
Sabaa Tahir,,,,Fantasy,,,True
Charlaine Harris,,,,,,,False
Caroline Moorehead,1944-10-28,United Kingdom,,,,,True
John Grisham,1955-02-08,United States,,,,,True
Michael Beck,,,,,,,True
Scarlett St. Clair,,,,,,,False
Maria Popova,1984-07-28,Bulgaria,,,,,True
Claudia Bedrick,,,,,,,False
Jennifer Egan,,United States,,Fiction; Novel; Short_story,,,True
Bill Bryson,1951-12-08,,,,,,True
Lisa Kleypas,,,,,,,False
Anonymous,,,,,,,True
Nora Roberts,1950-10-10,United States,,,,,True
Nick Jans,,,,,,,False
Rosanne Parry,,,,,,,False
G. J. Meyer,,,,,,,False
Brandon Mull,1974-11-08,,,Fantasy; Young_adult_fiction,,,True
Dick Hill,,,,,,,True
Sonia Purnell,,,,,,,False
Juliet Stevenson,1956-10-30,United Kingdom,,,,,True
Madeleine L'Engle,1918-11-29,United States,2007-09-06,Christian_fiction; Essay; Poetry; Science_fiction,,,True
Hope Davis,,,,,,,False
Ava DuVernay,1972-08-24,,,,,,True
Charlotte Jones Voiklis,,,,,,,False
Jessica Fellowes,,,,,,,False
Urban Meyer,,,,,,,True
Wayne Coffey,,,,,,,True
Seth Grahame-Smith,1976-01-04,,,Horror_fiction; Mashup_(book),,,True
Grant Morrison,,,,,,,True
Frank Quitely,,,,,,,False
others,,,,,,,True
Neil Gaiman,1960-11-10,Hampshire,,Comedy; Dark_fantasy; Fantasy_literature; Horror_fiction; Science_fiction,,,True
Alan Moore,1950-01-01,United Kingdom,,,,,True
Gene Ha,,,,,,,False
Peter H. Diamandis,,,,,,,False
Steven Kotler,1967-05-25,,,Nonfiction,,,True
Michael Savage,,,,,,,True
Troy Denning,,,,Fantasy; Role-playing_game,,,True
Neil deGrasse Tyson,1958-10-05,,,,,,True
Avis Lang,,,,,,,False
Nadia Bolz-Weber,1969-04-22,,,,,,True
Lisa Scottoline,1955-07-01,,,Fiction; Legal_thrillers,,,True
Sherrilyn Kenyon,,,,,,,False
Flea,,,,,,,True
Steve Harvey,1957-01-17,United States,,,,,True
Denene Millner,1968-10-21,,,,,,True
Brad Thor,1969-08-21,United States,,Non-fiction_novel; Spy_novel; Thriller_(genre),,,True
Rags Morales,,,,,,,False
Shari Arison,1957-09-09,United States,,,,,True
Andrea Beaty,,,,,,,False
Ann Coulter,1961-12-08,United States,,,,,True
Chuck Palahniuk,1962-02-21,,,Horror_fiction,,,True
Mark C. Thompson,,,,,,,False
Bonita S. Thompson,,,,,,,False
Rabia Chaudry,,Pakistan,,,,,True
the staff of Coloring Books for Adults,,,,,,,False
Paulo Coelho,1947-08-24,Brazil,,Drama; Romance_novel,,,True
Gabbie Hanna,1991-02-07,,,,,,True
Ryan North,1980-10-20,Canada,,Humour,,,True
Shelli Paroline,,,,,,,False
Natasha Allegri,1986-06-18,United States,,Adventure; Comedy_drama; Science-fantasy; Science_fiction,,,True
,1875-07-06,Austria-Hungary,1906-01-08,,,,True
Lisa Jackson,,,,Mystery_fiction; Romance_novel; Thriller_(genre),,,True
Mark Steyn,1959-12-08,,,,,,True
Laura Lippman,1959-01-31,United States,,,,,True
Dan Santat,,,,,,,True
Linda Castillo,,,,,,,False
Maya Banks,,United States,,Romance_novel,,,True
Michael Hainey,,,,,,,False
Jojo Moyes,,,,,,,False
Sylvia Day,1973-03-11,,,Fantasy_literature; Historical_fiction; Paranormal_romance; Romance_novel; Speculative_fiction; Thriller_(genre); Urban_fantasy,,,True
Roberto Aguirre-Sacasa,,,,,,,True
Francesco Francavilla,,,,,,,False
Chuck Wendig,1976-04-22,,,Urban_fantasy,,,True
Kumiko Suekane,,,,,,,False
David Wiedemer,,,,,,,False
Robert A. Wiedemer,,,,,,,False
Cindy Spitzer,,,,,,,False
Christine Riccio,,,,,,,False
Tom Clancy,1872-12-02,Ireland,1938-09-28,,,,True
Peter Telep,1965-04-08,,,Science_fiction,,,True
Scott Brown,1985-04-26,United Kingdom,,,,,True
Stephen R. Donaldson,1947-05-13,,,Fantasy_fiction; Mystery_fiction; Science_fiction,,,True
Brian Michael Bendis,,,,,,,True
Glenn Beck,1964-02-10,,,,,,True
Harriet Parke,,,,,,,False
Mark Greaney,1980-06-23,,,Alternative_rock,,,True
David Jeremiah,,United States,,,,,True
Laura Childs,,,,,,,False
Mayu Shinjo,1973-01-26,Nagasaki Prefecture,,,,,True
Billy Collins,1941-03-22,,,,,,True
Christine Feehan,,United States,,Action_fiction; Fantasy; Military_thriller; Paranormal; Paranormal_romance; Romance_novel; Suspense,,,True
Oh Great,,,,,,,False
Oh!Great,,,,,,,False
Takahiro,,,,,,,True
Kei Toru,,,,,,,False
Tetsuya Tashiro,,,,,,,False
Katsuhiro Otomo,,,,,,,True
Al Franken,1951-05-21,,,,,,True
Jacen Burrows,,,,,,,True
Andrew Hodges,,United Kingdom,,,,,True
Michael Ledwidge,,,,,,,False
Melissa de la Cruz,,,,,,,False
Richard DiLallo,,,,,,,False
Ron Chernow,1949-03-03,United States,,,,,True
Jonathan Eig,1964-04-26,,,,,,True
QuinRose,,,,,,,True
Mamenosuke Fujimaru,,,,,,,False
Quinrose,,,,,,,False
Soumei Hoshino,,,,,,,False
Hoshino Soumei,,,,,,,False
Delico Psyche,,,,,,,False
Riko Sakura,,,,,,,False
Lewis Carroll,1832-01-27,United Kingdom,1898-01-14,Children's_literature; Fantasy_literature; Linear_algebra; Literary_nonsense; Mathematical_logic; Voting_theory,,,True
Henry Winkler,1945-10-30,United States,,,,,True
Lin Oliver,1947-02-02,,,,,,True
Gregory Funaro,,,,,,,False
Scott Sigler,,,,Horror_fiction; Science_fiction,,,True
Alexandra Penfold,,,,,,,False
Suzanne Kaufman,,,,,,,False
Mary Higgins Clark,1927-12-24,,2020-01-31,Mystery_fiction; Psychological_thriller; Suspense,,,True
Alafair Burke,,,,Crime_Fiction; Mystery_fiction; Thriller_(genre),,,True
Jennifer Weiner,1970-03-28,United States,,Women's_fiction,,,True
Adrian Gostick,1965-09-08,United Kingdom,,,,,True
Chester Hilton,,,,,,,False
Raine Miller,,,,,,,False
Diana Kander,,,,,,,False
Dorothea Benton Frank,1951-09-12,United States,,,,,True
James Salter,1976-03-18,Worcestershire,,,,,True
Ashley Judd,1968-04-19,United States,,,,,True
Maryanne Vollers,,,,,,,False
Jennifer Niven,,,,,,,True
Maggie Stiefvater,1981-11-18,,,Fantasy; Young_adult_fiction,,,True
Donald Stratton,,,,,,,True
Ken Gire,,,,,,,False
Anthony Doerr,1973-10-27,,,,,,True
Olen Steinhauer,1970-06-21,,,Spy_fiction,,,True
Rebecca Traister,,,,,,,True
Adriana Trigiani,,,,,,,True
Joe Namath,,,,,,,True
Sean Mortimer,,,,,,,False
Don Yaeger,,,,,,,False
Liz Garton Scanlon,,,,,,,False
Emily Giffin,1972-03-20,,,,,,True
Mike Greenberg,,,,,,,False
Hiroshi Sakurazaka,,Japan,,Fantasy; Science_fiction,,,True
Ryosuke Takeuchi,,,,,,,False
Takeshi Obata,,,,,,,True
Alex Abramovich,,,,,,,False
Mike Harvkey,,,,,,,False
Stuart Immonen,,,,,,,False
Mark Frost,1971-10-23,,,,,,True
Alan Gratz,1972-01-27,United States,,Historical_Fiction; Young_Adult_Fiction,,,True
Christie Golden,1963-11-21,,,,,,True
Lisa Gardner,,,,,,,True
Michael Korda,1933-10-08,United Kingdom,,,,,True
Sarah Dessen,1970-06-06,United States,,Realistic_fiction,,,True
Jasinda Wilder,,,,,,,False
Helen Cooper,1947-02-06,,,,,,True
John Byrne,1932-07-11,United States,2013-03-07,,,,True
James Rollins,1961-08-20,United States,,Adventure_novel; Fantasy_(genre); Mystery_(fiction); Techno-thriller; Thriller_(genre),,,True
Anna Quindlen,1952-07-08,United States,,,,,True
Mary Beth Baptiste,,,,,,,False
Alton Brown,1962-07-30,United States,,,,,True
David Ludwig,,,,,,,False
Mari Andrew,1986-09-28,,,,,,True
Aisha Saeed,,,,,,,False
Edward Klein,,,,,,,False
Stan Lee,1961-09-26,United States,,,,,True
Peter David,,,,,,,True
Colleen Doran,,,,,,,False
James O. Born,,United States,,,,,True
Herman Parish,,United States,,,,,True
Dinesh D'Souza,1961-04-25,India,,,,,True
Stephen Colbert,1964-05-13,,,Black_comedy; Character_comedy; Improvisational_theatre; News_satire; Political_satire; Sketch_comedy; Surreal_humor,,,True
Graham Hancock,1950-08-02,United Kingdom,,,,,True
Sarah Palin,,,,,,,True
Ben C. Carson,,,,,,,False
Steven Brill,1950-08-22,,,,,,True
Jim Wallis,1948-06-04,,,,,,True
Vince Flynn,1966-04-06,United States,2013-06-19,,,,True
Gene Luen Yang,1973-08-09,,,Graphic_novels,,,True
Tim Alberta,,,,,,,False
Nancy Jo Sales,1964-10-15,,,Journalism,,,True
Michelle Obama,,,,,,,False
Chris Kyle,,,,,,,True
William Doyle,1991-01-29,Dorset,,Ambient_music; Electronic_music; Experimental_music; Intelligent_dance_music; Synthpop,,,True
Jeffrey Toobin,1960-05-21,,,,,,True
Helen Ellis,,,,,,,False
Howard Blum,,,,,,,False
Joe Drape,,,,,,,False
Katharine McGee,,,,,,,False
Scott McEwen,,,,,,,False
Jim DeFelice,,,,,,,False
Marco Rubio,,,,,,,False
Scott Snyder,,,,,,,True
Rafael Albuquereque,,,,,,,False
Rafael Alburqurqe,,,,,,,False
Rafael Albuquerque,,,,,,,False
Curtis Sittenfeld,1975-08-23,United States,,Fiction,,,True
Chimamanda Ngozi Adichie,1977-09-15,Nigeria,,,,,True
Mark R. Levin,,,,,,,False
"Lebanon" Levi Stoltzfus,,,,,,,False
Julia Pierpont,,,,,,,False
Kazu Kibuishi,,,,,,,False
Hank Green,,,,,,,True
John Green,1958-03-07,United Kingdom,,,,,True
Tayari Jones,1970-11-30,,,,,,True
Greer Hendricks,,,,,,,False
Sarah Pekkanen,,,,,,,False
Chris Hadfield,1959-08-29,,,,,,True
Margaret Rogerson,,,,,,,False
Laura L. Schroff,,,,,,,False
Patrick Taylor,,,,,,,True
Sherryl Woods,1944-07-23,United States,,Mystery_novel; Romantic_novel,,,True
Steve Martin,,,,,,,True
Robert Harris,1969-06-13,,,,,,True
Neal Stephenson,1959-10-31,United States,,Essays; Historical_fiction; Speculative_fiction,,,True
Eoin Colfer,1965-05-14,Republic of Ireland,,Adventure_novel; Children's_literature; Science_fiction,,,True
Kiersten White,,United States,,,,,True
Marie Force,,,,,,,False
Dana Perino,1972-05-09,United States,,,,,True
Richard Engel,1973-09-16,,,,,,True
Brian Kilmeade,1964-05-07,United States,,,,,True
Claudia Kalb,,,,,,,False
Margaret Atwood,,,,,,,False
Johnnie Christmas,,,,,,,False
Kristin Hannah,1960-09-25,,,,,,True
Anne Rice,1941-10-04,,2021-12-11,Christian_novel; Erotic_literature; Gothic_fiction; Horror_fiction,,,True
Frank McCourt,1930-08-19,United States,2009-07-19,,,,True
Andrew Morton,,United Kingdom,,,,,True
Danielle Trussoni,,,,,,,False
Michael Connelly,1956-07-21,U.S.,,Crime_fiction; Thriller_(genre),,,True
Jeff Lemire,,,,,,,False
Travel Foreman,,,,,,,False
Virginia Morell,,,,,,,False
Ker Rosanes,,,,,,,False
Gavriel Savit,,,,,,,False
Francine Prose,1947-04-01,United States,,,,,True
L. M. Elliott,,,,,,,False
Jacqueline Woodson,1963-02-12,,,Young_adult_fiction,,,True
David Levithan,1972-09-07,United States,,Fantasy; Supernatural_fiction; Young_adult_fiction,,,True
Jane Green,1897-01-02,United States,1931-08-28,,,,True
Michael DeForge,,,,,,,False
Tijan,,,,,,,False
Nassim Nicholas Taleb,1960-09-12,Lebanon,,,,,True
Antoni Porowski,1984-03-14,,,,,,True
Mindy Fox,,,,,,,False
Caleb Krisp,,,,,,,False
Elizabeth Strout,1956-01-06,United States,,Literary_fiction,,,True
Maxwell Ryan,,,,,,,False
Janel Laban,,,,,,,False
Sara Gruen,,British Columbia,,,,,True
George O'Connor,,,,,,,True
Anthony Bourdain,1956-06-25,United States,2018-06-08,,,,True
Laurie Woolever,,,,,,,False
Joanne Fluke,,,,,,,False
J. D. Robb,,,,,,,False
Victoria Kann,,,,,,,False
Geoff Johns,,,,,,,True
Ivan Reis,,,,,,,False
Paul Pelletier,,,,,,,False
Neal Shusterman,1962-11-12,United States,,,,,True
Nalini Singh,1945-09-01,,,,,,True
Marissa Meyer,1984-02-19,,,Young_adult_fiction,,,True
R. A. Salvatore,1959-01-20,,,,,,True
Clive Cussler,1931-07-15,United States,2020-02-24,Adventure_novel,,,True
Dirk Cussler,,,,,,,False
Frans de Waal,1948-10-29,Netherlands,,,,,True
Alison Bechdel,1960-09-10,,,Autobiography; Social_commentary,,,True
Chelsea Handler,1975-02-25,United States,,,,,True
Annie Jacobsen,1967-06-28,,,,,,True
Kevin Balfe,,,,,,,False
Sam Kieth,,,,,,,True
Ernest Cline,1972-03-29,,,,,,True
Albert Podell,,,,,,,False
David Wiesner,1956-02-05,United States,,Children's_literature,,,True
Andy Weir,1972-06-16,,,Fantasy; Science_fiction,,,True
Marc Brown,1979-03-10,,,,,,True
Roshani Chokshi,1991-02-14,United States,,Children's_literature; Fantasy,,,True
Merhdad Baghai,,,,,,,False
James Quigley,1918-03-30,,2011-12-15,,,,True
Cary Elwes,1962-10-26,United Kingdom,,,,,True
Joe Layden,,,,,,,False
Laura Sebastian,,,,,,,False
Mary Beth Keane,,,,,,,False
Elizabeth Berkley,1974-07-28,United States,,,,,True
Jane O'Connor,,,,,,,False
Robin Hobb,1952-03-05,,,Fantasy_fiction,,,True
Yusei Matsui,,,,,,,False
Wilbur Smith,1933-01-09,Zambia,2021-11-13,Adventure; Nature,,,True
David Mazzucchelli,,,,,,,True
Jean-Yves Ferri,,,,,,,False
Didier Conrad,1959-05-06,France,,,,,True
Peter Stark,,,,,,,False
Ben Reiter,1987-06-27,,,,,,True
Madeleine Roux,,United States,,,,,True
Jennifer L. Scott,,,,,,,False
Tracy Chevalier,,,,,,,True
Sarah Bakewell,,England,,,,,True
John Gerzema,,,,,,,True
Michael D'Antonio,,,,,,,False
TEAS Exam Secrets Test Prep Team,,,,,,,False
Simon Winchester,1944-09-28,United Kingdom,,,,,True
Joshua Foer,1982-09-23,,,,,,True
Dylan Thuras,,,,,,,False
Ella Morton,,,,,,,False
Hajime Isayama,1986-08-29,,,,,,True
Ryo Suzukaze,,,,,,,False
Satoshi Shiki,,,,,,,True
Saki Nakagawa,,,,,,,False
Gun Snark,,,,,,,False
Hikaru Suruga,,,,,,,False
Jay Wright,,,,,,,True
Michael Sheridan,,Republic of Ireland,1970-07-06,,,,True
Mark Dagostino,,,,,,,False
Luca Dotti,,,,,,,False
R. J. Palacio,,,,,,,False
Amie Kaufman,,,,Fantasy; Science_fiction; Young_adult_fiction,,,True
Jay Kristoff,,Western Australia,,Fantasy; Science_fiction,,,True
Mark Twain,,,,,,,True
Gurihiru,,,,,,,True
F. C. Yee,,,,,,,False
Michael Dante DiMartino,1974-07-18,,,,,,True
Bryan Konietzko,,,,,,,False
Rick Remender,,,,,,,False
Jonathan Hickman,,,,,,,False
Jerome Opena,,,,,,,False
Warren Ellis,1965-02-14,Australia,,,,,True
Mike McKone,,,,,,,False
Jerome Opeña,,,,,,,False
Jeph Loeb,,,,,,,True
Ed McGuinness,,,,,,,False
John Irving,1815-02-08,Scotland,,,,,True
Alex Kershaw,,North Yorkshire,,,,,True
Daniel Siegel,,,,,,,False
Mike Bender,,,,,,,False
Doug Chernack,,,,,,,False
Aimie K. Runyan,,,,,,,False
Blue Star Coloring,,,,,,,False
MantraCraft,,,,,,,False
Coloring Books for Adults,,,,,,,False
Anna Todd,1989-03-20,United States,,,,,True
